file	class	field	type	optional	decorators
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'uuid',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	nullable	true,	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	jobFunctionId	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'admission_date',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'date',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	nullable	true,	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	admissionDate	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'text',	NAO	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	default	'ACTIVE',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	status	string	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'created_at',	NAO	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'timestamptz',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	createdAt	Date	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	name	'updated_at',	NAO	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	type	'timestamptz',	NAO	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	HrEmployeeProfile	updatedAt	Date	NAO	
/opt/rh-saas/backend/src/modules/schedules/dto/assign-schedule.dto.ts	AssignScheduleDto	employeeId	string	NAO	
/opt/rh-saas/backend/src/modules/schedules/dto/assign-schedule.dto.ts	AssignScheduleDto	scheduleId	string	NAO	
/opt/rh-saas/backend/src/modules/schedules/dto/assign-schedule.dto.ts	AssignScheduleDto	startDate	string	NAO	
/opt/rh-saas/backend/src/modules/schedules/dto/assign-schedule.dto.ts	AssignScheduleDto	endDate	string	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	name	string	NAO	
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	type	ScheduleType	NAO	
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	workDays	number[]	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	expectedMinutesPerDay	number	SIM	
/opt/rh-saas/backend/src/modules/schedules/dto/create-schedule.dto.ts	CreateScheduleDto	dailyToleranceMinutes	number	SIM	
