file	field	type	decorators
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	name	'hr_work_locations',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	name	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	name	'address_line',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	type	'numeric',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	type	'numeric',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-work-location.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	name	'location_tracking_points',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	name	'employee_profile_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	employeeProfileId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	name	'device_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/location-tracking-point.entity.ts	name	'tracked_at',	@Column({
